as_of,und,exp_dt,strike_px,put_call,bid_px,ask_px,last_px,trd_vol,oi,imp_vol,delta,opt_root,exch,snap_id,rec_hash
2026-08-04,CL,2026-08-19,59,P,1.52,1.54,1.53,1238,3850,0.3239,-0.334,CL,NYMEX,snap-20260804-cl,CL-20260819-59-P-20260804
08/04/2026,cl,20260819,60,Call,7.79,7.89,7.84,1309,5387,0.2999,0.682,CL,NYMEX,snap-20260804-cl,CL-20260819-60-C-20260804
2026-08-04,CL,08/19/2026,60,P,1.48,1.5,1.49,820,4121,0.3169,-0.318,CL,NYMEX,snap-20260804-cl,CL-20260819-60-P-20260804
2026-08-04,CL,2026-08-19,61,C,6.78,6.87,6.82,518,1852,0.2955,0.702,CL,NYMEX,snap-20260804-cl,CL-20260819-61-C-20260804
08/04/2026,CL,2026-08-19,61,P,1.45,1.47,1.46,1155,5145,0.3099,-0.298,CL,NYMEX,snap-20260804-cl,CL-20260819-61-P-20260804
2026-08-04,CL,08/19/2026,62,C,5.77,5.84,5.8,2943,9732,0.2912,0.727,CL,NYMEX,snap-20260804-cl,CL-20260819-62-C-20260804
08/04/2026,CL,2026-08-19,62,P,1.42,1.44,1.43,4236,20110,0.3029,-0.273,CL,NYMEX,snap-20260804-cl,CL-20260819-62-P-20260804
20260804,CL,2026-08-19,63,C,4.76,4.81,4.78,3626,14670,0.2869,0.759,CL,NYMEX,snap-20260804-cl,CL-20260819-63-C-20260804
20260804,CL,08/19/2026,63,P,1.39,1.4,1.40,6343,22011,0.296,-0.241,CL,NYMEX,snap-20260804-cl,CL-20260819-63-P-20260804
08/04/2026,CL,08/19/2026,64,C,3.74,3.78,3.76,13111,57046,0.2825,0.801,CL,NYMEX,snap-20260804-cl,CL-20260819-64-C-20260804
08/04/2026,CL,08/19/2026,64,P,1.35,1.37,1.36,10431,49735,0.289,-0.199,CL,NYMEX,snap-20260804-cl,CL-20260819-64-P-20260804
2026-08-04,CL,2026-08-19,65,Call,2.73,2.76,2.74,13978,48403,0.2782,0.86,CL,NYMEX,snap-20260804-cl,CL-20260819-65-C-20260804
2026-08-04,CL,2026-08-19,65,P,1.32,1.34,1.33,23903,67015,0.282,-0.14,CL,NYMEX,snap-20260804-cl,CL-20260819-65-P-20260804
2026-08-04,CL,20260819,66.00,C,1.71,1.73,1.72,13059,46037,0.27,0.948,CL,NYMEX,snap-20260804-cl,CL-20260819-66-C-20260804
2026-08-04,CL,2026-08-19,66,P ,1.29,1.3,1.3,"29,034",130151,0.275,-0.052,CL,NYMEX,snap-20260804-cl,CL-20260819-66-P-20260804
2026-08-04,CL,2026-08-19,67.00,C,1.29,1.30,1.3,22560,98572,0.275,0.933,CL,NYMEX,snap-20260804-cl,CL-20260819-67-C-20260804
20260804,CL,2026-08-19,67,P,1.85,1.87,1.86,16371,59420,0.2745,-0.067,CL,NYMEX,snap-20260804-cl,CL-20260819-67-P-20260804
2026-08-04,cl,2026-08-19,68,C,1.31,1.33,1.32,6507,15256,0.2802,0.851,CL,NYMEX,snap-20260804-cl,CL-20260819-68-C-20260804
2026-08-04,CL,08/19/2026,68,P,2.87,2.9,2.88,17707,70175,0.2788,-0.149,CL,NYMEX,snap-20260804-cl,CL-20260819-68-P-20260804
08/04/2026,CL,20260819,69,C,1.34,1.35,1.35,12703,"52,898",0.29,0.795,CL,NYMEX,snap-20260804-cl,CL-20260819-69-C-20260804
2026-08-04,CL,08/19/26,69,P,3.88,3.93,3.9,10007,35633,0.2831,-0.205,CL,NYMEX,snap-20260804-cl,CL-20260819-69-P-20260804
08/04/26,CL,08/19/26,70,C,1.36,1.38,1.37,8361,22020,0.2906,0.754,CL,NYMEX,snap-20260804-cl,CL-20260819-70-C-20260804
08/04/2026,CL,20260819,70,P,4.9,4.95,4.93,4980,27140,0.2875,-0.246,CL,NYMEX,snap-20260804-cl,CL-20260819-70-P-20260804
2026-08-04,cl,2026-08-19,71.00,C,1.39,1.4,1.4,2382,7394,0.2958,0.723,CL,NYMEX,snap-20260804-cl,CL-20260819-71-C-20260804
08/04/2026,CL,08/19/2026,71,P,5.91,5.98,5.94,4967,18496,0.2918,-0.277,CL,NYMEX,snap-20260804-cl,CL-20260819-71-P-20260804
20260804,CL,2026-08-19,72.00,C,1.41,1.43,1.42,1103,3779,0.301,0.699,CL,NYMEX,snap-20260804-cl,CL-20260819-72-C-20260804
2026-08-04,CL,2026-08-19,72,P,6.92,7.01,6.96,883,2349,0.2961,-0.30,CL,NYMEX,snap-20260804-cl,CL-20260819-72-P-20260804
20260804,CL,2026-08-19,73,C,1.43,1.45,1.44,942,3046,0.3062,0.68,CL,NYMEX,snap-20260804-cl,CL-20260819-73-C-20260804
2026-08-04,CL,2026-08-19,73,P,7.93,8.04,7.98,855,2515,0.3005,-0.32,CL,NYMEX,snap-20260804-cl,CL-20260819-73-P-20260804
2026-08-04,CL,2026-08-19,74,C,1.46,1.48,1.47,410,1891,0.3114,0.664,CL,NYMEX,snap-20260804-cl,CL-20260819-74-C-20260804
08/04/2026,CL,2026-08-19,74,P,8.94,9.07,9,468,1421,0.3048,-0.34,CL,NYMEX,snap-20260804-cl,CL-20260819-74-P-20260804
2026-08-04,CL,2026-08-19,75,C,1.48,1.5,1.49,616,2127,0.3166,0.651,CL,NYMEX,snap-20260804-cl,CL-20260819-75-C-20260804
20260804,CL,2026-08-19,75.00,P,9.95,10.1,10.02,556,2475,0.3092,-0.349,CL,NYMEX,snap-20260804-cl,CL-20260819-75-P-20260804
2026-08-04,CL,2026-08-19,76,C,1.51,1.53,1.52,519,2000,0.3218,0.639,CL,NYMEX,snap-20260804-cl,CL-20260819-76-C-20260804
08/04/26,cl,20260819,76,P,10.96,11.13,11.05,1140,6228,0.3135,-0.361,CL,NYMEX,snap-20260804-cl,CL-20260819-76-P-20260804
20260804,CL,2026-09-16,56,C,12.85,13.08,12.96,815,2451,0.3172,0.631,CL,NYMEX,snap-20260804-cl,CL-20260916-56-C-20260804
2026-08-04,CL,2026-09-16,56,P,2.73,2.78,2.76,912,3194,0.3449,-0.369,CL,NYMEX,snap-20260804-cl,CL-20260916-56-P-20260804
2026-08-04,CL,2026-09-16,57,C,11.82,12.03,11.92,756,2627,0.31,0.641,CL,NYMEX,snap-20260804-cl,CL-20260916-57-C-20260804
08/04/2026,CL,2026-09-16,57,put,2.67,2.72,2.70,799,3876,0.3379,-0.359,CL,NYMEX,snap-20260804-cl,CL-20260916-57-P-20260804
2026-08-04,CL,2026-09-16,58,C,10.8,10.98,10.89,724,3149,0.3085,0.652,CL,NYMEX,snap-20260804-cl,CL-20260916-58-C-20260804
2026-08-04,CL,2026-09-16,58.00,P,2.62,2.66,2.64,782,2892,0.3309,-0.348,CL,NYMEX,snap-20260804-cl,CL-20260916-58-P-20260804
2026-08-04,CL,2026-09-16,59,C,9.78,9.94,9.86,507,1307,0.3042,0.666,CL,NYMEX,snap-20260804-cl,CL-20260916-59-C-20260804
2026-08-04,CL,2026-09-16,59,P,2.56,2.61,2.58,558,1802,0.3239,-0.334,CL,NYMEX,snap-20260804-cl,CL-20260916-59-P-20260804
08/04/2026,CL,2026-09-16,60,Call,8.75,8.89,8.82,953,3920,0.2999,0.682,CL,NYMEX,snap-20260804-cl,CL-20260916-60-C-20260804
20260804,CL,2026-09-16,60,P,2.51,2.55,2.53,481,1949,0.3169,-0.318,CL,NYMEX,snap-20260804-cl,CL-20260916-60-P-20260804
20260804,CL,2026-09-16,61,C,7.73,7.85,7.79,1067,2993,0.2955,0.702,CL,NYMEX,snap-20260804-cl,CL-20260916-61-C-20260804
2026-08-04,CL,20260916,61,P,2.45,2.49,2.47,598,1798,0.31,-0.298,CL,NYMEX,snap-20260804-cl,CL-20260916-61-P-20260804
2026-08-04,CL,2026-09-16,62,C,6.71,6.8,6.76,3957,"17,563",0.2912,0.727,CL,NYMEX,snap-20260804-cl,CL-20260916-62-C-20260804
2026-08-04,CL,2026-09-16,62,P,2.4,2.43,2.42,5623,26027,0.3029,-0.273,CL,NYMEX,snap-20260804-cl,CL-20260916-62-P-20260804
2026-08-04,cl,2026-09-16,63,C,5.68,5.76,5.72,5946,28097,0.2869,0.759,CL,NYMEX,snap-20260804-cl,CL-20260916-63-C-20260804
20260804,CL,2026-09-16,63,P,2.35,2.38,2.37,6989,25403,0.296,-0.241,CL,NYMEX,snap-20260804-cl,CL-20260916-63-P-20260804
2026-08-04,CL,09/16/26,64,C,4.65,4.72,4.69,4845,18146,0.2825,0.801,CL,NYMEX,snap-20260804-cl,CL-20260916-64-C-20260804
2026-08-04,CL,09/16/26,64,P,2.29,2.32,2.3,8764,42069,0.289,-0.199,CL,NYMEX,snap-20260804-cl,CL-20260916-64-P-20260804
08/04/26,CL,2026-09-16,65,C,3.63,3.67,3.65,21854,57826,0.28,0.86,CL,NYMEX,snap-20260804-cl,CL-20260916-65-C-20260804
08/04/26,cl,2026-09-16,65,P,2.24,2.26,2.25,15572,58069,0.282,-0.14,CL,NYMEX,snap-20260804-cl,CL-20260916-65-P-20260804
08/04/26,CL,09/16/26,66,C,2.6,2.63,2.62,16249,69153,0.2739,0.95,CL,NYMEX,snap-20260804-cl,CL-20260916-66-C-20260804
2026-08-04,CL,20260916,66,P,2.18,2.21,2.2,17785,93286,0.275,-0.052,CL,NYMEX,snap-20260804-cl,CL-20260916-66-P-20260804
08/04/2026,CL,2026-09-16,67,Call,2.18,2.21,2.2,14186,47130,0.275,0.93,CL,NYMEX,snap-20260804-cl,CL-20260916-67-C-20260804
08/04/2026,CL,2026-09-16,67,P,2.74,2.78,2.76,16352,72836,0.2745,-0.067,CL,NYMEX,snap-20260804-cl,CL-20260916-67-P-20260804
2026-08-04,CL,09/16/26,68,C,2.22,2.25,2.24,9267,35050,0.2802,0.851,CL,NYMEX,snap-20260804-cl,CL-20260916-68-C-20260804
2026-08-04,CL,2026-09-16,68,P,3.77,3.82,3.8,14612,53949,0.2788,-0.149,CL,NYMEX,snap-20260804-cl,CL-20260916-68-P-20260804
2026-08-04,CL,2026-09-16,69,Call,2.26,2.29,2.28,6332,16175,0.2854,0.795,CL,NYMEX,snap-20260804-cl,CL-20260916-69-C-20260804
08/04/26,CL,2026-09-16,69,P,4.8,4.86,4.83,6314,33376,0.2831,-0.205,CL,NYMEX,snap-20260804-cl,CL-20260916-69-P-20260804
20260804,CL,20260916,70,C,2.3,2.33,2.32,3786,12963,0.2906,0.754,CL,NYMEX,snap-20260804-cl,CL-20260916-70-C-20260804
08/04/26,CL,2026-09-16,70,P ,5.82,5.9,5.86,4758,18536,0.2875,-0.246,CL,NYMEX,snap-20260804-cl,CL-20260916-70-P-20260804
08/04/26,CL,09/16/2026,71,C,2.34,2.38,2.36,2257,7767,0.2958,0.72,CL,NYMEX,snap-20260804-cl,CL-20260916-71-C-20260804
2026-08-04,CL,09/16/2026,71,P,6.85,6.95,6.9,4639,22150,0.2918,-0.277,CL,NYMEX,snap-20260804-cl,CL-20260916-71-P-20260804
2026-08-04,CL,2026-09-16,72,C,2.38,2.42,2.4,789,1759,0.301,0.699,CL,NYMEX,snap-20260804-cl,CL-20260916-72-C-20260804
2026-08-04,CL,2026-09-16,72,P,7.87,7.99,7.93,768,3079,0.30,-0.301,CL,NYMEX,snap-20260804-cl,CL-20260916-72-P-20260804
20260804,CL,2026-09-16,73,C,2.42,2.46,2.44,929,2764,0.3062,0.68,CL,NYMEX,snap-20260804-cl,CL-20260916-73-C-20260804
08/04/26,CL,2026-09-16,73,P,8.9,9.04,8.97,611,2653,0.3005,-0.32,CL,NYMEX,snap-20260804-cl,CL-20260916-73-P-20260804
08/04/2026,cl,2026-09-16,74,Call,2.46,2.5,2.48,493,1960,0.3114,0.664,CL,NYMEX,snap-20260804-cl,CL-20260916-74-C-20260804
20260804,CL,09/16/26,74,P,9.92,10.08,10,355,"1,711",0.3048,-0.336,CL,NYMEX,snap-20260804-cl,CL-20260916-74-P-20260804
2026-08-04,CL,2026-09-16,75.00,Call,2.51,2.55,2.53,938,3117,0.3166,0.651,CL,NYMEX,snap-20260804-cl,CL-20260916-75-C-20260804
2026-08-04,cl,09/16/26,75,P,10.94,11.13,11.04,480,1673,0.3092,-0.349,CL,NYMEX,snap-20260804-cl,CL-20260916-75-P-20260804
08/04/2026,CL,2026-09-16,76,C,2.55,2.59,2.57,780,3089,0.3218,0.639,CL,NYMEX,snap-20260804-cl,CL-20260916-76-C-20260804
08/04/2026,CL,2026-09-16,76,P,11.97,12.18,12.08,729,3905,0.3135,-0.361,CL,NYMEX,snap-20260804-cl,CL-20260916-76-P-20260804
08/04/26,CL,2026-10-14,56,C,13.54,13.82,13.68,613,2198,0.3172,0.631,CL,NYMEX,snap-20260804-cl,CL-20261014-56-C-20260804
08/04/2026,cl,2026-10-14,56,P,3.5,3.57,3.54,336,1402,0.34,-0.369,CL,NYMEX,snap-20260804-cl,CL-20261014-56-P-20260804
2026-08-04,CL,10/14/2026,57,C,12.51,12.76,12.64,767,1798,0.3129,0.641,CL,NYMEX,snap-20260804-cl,CL-20261014-57-C-20260804
08/04/26,CL,2026-10-14,57,P,3.43,3.50,3.46,795,2828,0.3379,-0.36,CL,NYMEX,snap-20260804-cl,CL-20261014-57-P-20260804
2026-08-04,CL,2026-10-14,58,C,11.48,11.7,11.59,591,2058,0.3085,0.652,CL,NYMEX,snap-20260804-cl,CL-20261014-58-C-20260804
20260804,CL,10/14/2026,58,P,3.36,3.43,3.40,759,2586,0.3309,-0.348,CL,NYMEX,snap-20260804-cl,CL-20261014-58-P-20260804
08/04/2026,CL,2026-10-14,59,C,10.45,10.65,10.55,776,3358,0.3042,0.666,CL,NYMEX,snap-20260804-cl,CL-20261014-59-C-20260804
2026-08-04,CL,10/14/2026,59,P ,3.29,3.35,3.32,325,1130,0.3239,-0.33,CL,NYMEX,snap-20260804-cl,CL-20261014-59-P-20260804
2026-08-04,cl,2026-10-14,60,C,9.42,9.59,9.5,615,2199,0.2999,0.682,CL,NYMEX,snap-20260804-cl,CL-20261014-60-C-20260804
2026-08-04,CL,20261014,60,P,3.22,3.28,3.25,463,2263,0.3169,-0.318,CL,NYMEX,snap-20260804-cl,CL-20261014-60-P-20260804
20260804,CL,2026-10-14,61,C,8.39,8.53,8.46,501,1687,0.2955,0.702,CL,NYMEX,snap-20260804-cl,CL-20261014-61-C-20260804
2026-08-04,cl,2026-10-14,61,P,3.15,3.21,3.18,664,3560,0.3099,-0.298,CL,NYMEX,snap-20260804-cl,CL-20261014-61-P-20260804
2026-08-04,CL,2026-10-14,62,Call,7.35,7.48,7.42,2994,9498,0.2912,0.727,CL,NYMEX,snap-20260804-cl,CL-20261014-62-C-20260804
20260804,CL,2026-10-14,62,P,3.08,3.13,3.1,4390,23176,0.3029,-0.273,CL,NYMEX,snap-20260804-cl,CL-20261014-62-P-20260804
08/04/2026,CL,2026-10-14,63,C,6.32,6.42,6.37,2847,7147,0.2869,0.759,CL,NYMEX,snap-20260804-cl,CL-20261014-63-C-20260804
2026-08-04,CL,2026-10-14,63,P,3.01,3.06,3.04,8501,35131,0.296,-0.241,CL,NYMEX,snap-20260804-cl,CL-20261014-63-P-20260804
2026-08-04,cl,2026-10-14,64.00,Call,5.29,5.37,5.33,7167,29854,0.2825,0.801,CL,NYMEX,snap-20260804-cl,CL-20261014-64-C-20260804
20260804,CL,10/14/2026,64,P,2.94,2.99,2.96,7244,24113,0.29,-0.199,CL,NYMEX,snap-20260804-cl,CL-20261014-64-P-20260804
2026-08-04,CL,10/14/2026,65,C,4.25,4.31,4.28,17589,62643,0.2782,0.86,CL,NYMEX,snap-20260804-cl,CL-20261014-65-C-20260804
08/04/2026,CL,2026-10-14,65,P,2.87,2.91,2.89,"7,104",31234,0.282,-0.14,CL,NYMEX,snap-20260804-cl,CL-20261014-65-P-20260804
08/04/2026,CL,10/14/2026,66,C,3.22,3.26,3.24,12677,52020,0.2739,0.948,CL,NYMEX,snap-20260804-cl,CL-20261014-66-C-20260804
2026-08-04,CL,10/14/2026,66,P,2.8,2.84,2.82,17909,96461,0.275,-0.052,CL,NYMEX,snap-20260804-cl,CL-20261014-66-P-20260804
08/04/2026,CL,2026-10-14,67,C,2.8,2.84,2.82,11057,28977,0.275,0.933,CL,NYMEX,snap-20260804-cl,CL-20261014-67-C-20260804
08/04/26,CL,2026-10-14,67,P,3.36,3.41,3.38,6901,"22,065",0.2745,-0.067,CL,NYMEX,snap-20260804-cl,CL-20261014-67-P-20260804
2026-08-04,CL,10/14/2026,68,C,2.85,2.89,2.87,12513,43595,0.28,0.851,CL,NYMEX,snap-20260804-cl,CL-20261014-68-C-20260804
2026-08-04,CL,20261014,68,P,4.4,4.46,4.43,7138,37031,0.2788,-0.149,CL,NYMEX,snap-20260804-cl,CL-20261014-68-P-20260804
2026-08-04,CL,20261014,69,Call,2.9,2.95,2.92,9901,24861,0.2854,0.795,CL,NYMEX,snap-20260804-cl,CL-20261014-69-C-20260804
20260804,CL,2026-10-14,69,P,5.43,5.52,5.48,11279,28944,0.2831,-0.205,CL,NYMEX,snap-20260804-cl,CL-20261014-69-P-20260804
20260804,CL,10/14/2026,70.00,C,2.96,3,2.98,7591,32120,0.2906,0.754,CL,NYMEX,snap-20260804-cl,CL-20261014-70-C-20260804
08/04/26,CL,2026-10-14,70,P,6.47,6.57,6.52,10651,48008,0.2875,-0.246,CL,NYMEX,snap-20260804-cl,CL-20261014-70-P-20260804
2026-08-04,CL,2026-10-14,71,C,3.01,3.06,3.04,3573,14673,0.2958,0.723,CL,NYMEX,snap-20260804-cl,CL-20261014-71-C-20260804
2026-08-04,CL,2026-10-14,71,Put,7.5,7.63,7.56,1785,7519,0.2918,-0.277,CL,NYMEX,snap-20260804-cl,CL-20261014-71-P-20260804
2026-08-04,CL,10/14/2026,72,C,3.06,3.11,3.08,448,1341,0.301,0.699,CL,NYMEX,snap-20260804-cl,CL-20261014-72-C-20260804
2026-08-04,CL,10/14/2026,72,P,8.53,8.68,8.60,665,2540,0.2961,-0.301,CL,NYMEX,snap-20260804-cl,CL-20261014-72-P-20260804
2026-08-04,CL,2026-10-14,73.00,C,3.11,3.17,3.14,697,1619,0.3062,0.68,CL,NYMEX,snap-20260804-cl,CL-20261014-73-C-20260804
08/04/2026,CL,2026-10-14,73.00,P,9.57,9.74,9.66,486,1426,0.3005,-0.32,CL,NYMEX,snap-20260804-cl,CL-20261014-73-P-20260804
08/04/26,CL,20261014,74,C,3.16,3.22,3.19,641,2059,0.3114,0.664,CL,NYMEX,snap-20260804-cl,CL-20261014-74-C-20260804
20260804,CL,20261014,74,P,10.6,10.79,10.7,784,"3,540",0.3048,-0.336,CL,NYMEX,snap-20260804-cl,CL-20261014-74-P-20260804
20260804,CL,10/14/2026,75,C,3.22,3.28,3.25,676,1837,0.3166,0.651,CL,NYMEX,snap-20260804-cl,CL-20261014-75-C-20260804
08/04/26,CL,10/14/2026,75,P ,11.63,11.85,11.74,842,4607,0.31,-0.349,CL,NYMEX,snap-20260804-cl,CL-20261014-75-P-20260804
08/04/2026,CL,2026-10-14,76,C,3.27,3.33,3.3,296,983,0.3218,0.639,CL,NYMEX,snap-20260804-cl,CL-20261014-76-C-20260804
08/04/2026,CL,2026-10-14,76,P,12.66,12.91,12.78,406,2040,0.3135,-0.361,CL,NYMEX,snap-20260804-cl,CL-20261014-76-P-20260804
2026-08-04,CL,11/18/2026,56,C,14.24,14.57,14.4,533,2212,0.3172,0.63,CL,NYMEX,snap-20260804-cl,CL-20261118-56-C-20260804
2026-08-04,CL,20261118,56,P,4.27,4.37,4.32,303,868,0.3449,-0.369,CL,NYMEX,snap-20260804-cl,CL-20261118-56-P-20260804
2026-08-04,CL,20261118,57,C,13.20,13.5,13.35,519,2369,0.3129,0.641,CL,NYMEX,snap-20260804-cl,CL-20261118-57-C-20260804
2026-08-04,CL,20261118,57,P,4.19,4.28,4.24,303,1398,0.3379,-0.36,CL,NYMEX,snap-20260804-cl,CL-20261118-57-P-20260804
2026-08-04,CL,11/18/26,58,C,12.16,12.43,12.3,288,983,0.3085,0.652,CL,NYMEX,snap-20260804-cl,CL-20261118-58-C-20260804
2026-08-04,CL,20261118,58,P,4.10,4.19,4.14,387,1701,0.3309,-0.348,CL,NYMEX,snap-20260804-cl,CL-20261118-58-P-20260804
2026-08-04,CL,2026-11-18,59,C,11.12,11.36,11.24,520,1772,0.3042,0.666,CL,NYMEX,snap-20260804-cl,CL-20261118-59-C-20260804
2026-08-04,CL,2026-11-18,59,P,4.02,4.1,4.06,295,1459,0.3239,-0.334,CL,NYMEX,snap-20260804-cl,CL-20261118-59-P-20260804
2026-08-04,CL,11/18/26,60,C,10.08,10.29,10.18,410,1872,0.2999,0.68,CL,NYMEX,snap-20260804-cl,CL-20261118-60-C-20260804
2026-08-04,CL,2026-11-18,60,P,3.93,4.01,3.97,366,953,0.3169,-0.318,CL,NYMEX,snap-20260804-cl,CL-20261118-60-P-20260804
08/04/2026,CL,2026-11-18,61,C,9.04,9.22,9.13,350,1343,0.2955,0.702,CL,NYMEX,snap-20260804-cl,CL-20261118-61-C-20260804
08/04/2026,CL,2026-11-18,61,P,3.84,3.92,3.88,441,1417,0.3099,-0.298,CL,NYMEX,snap-20260804-cl,CL-20261118-61-P-20260804
2026-08-04,CL,20261118,62,C,8,8.16,8.08,1621,"5,136",0.2912,0.727,CL,NYMEX,snap-20260804-cl,CL-20261118-62-C-20260804
08/04/2026,cl,2026-11-18,62,P,3.76,3.83,3.8,2226,7353,0.3029,-0.273,CL,NYMEX,snap-20260804-cl,CL-20261118-62-P-20260804
2026-08-04,CL,2026-11-18,63,C,6.96,7.09,7.02,5676,25225,0.2869,0.759,CL,NYMEX,snap-20260804-cl,CL-20261118-63-C-20260804
2026-08-04,CL,11/18/2026,63.00,P,3.67,3.74,3.7,2833,11889,0.296,-0.241,CL,NYMEX,snap-20260804-cl,CL-20261118-63-P-20260804
2026-08-04,CL,20261118,64,C,5.92,6.02,5.97,4841,20968,0.28,0.801,CL,NYMEX,snap-20260804-cl,CL-20261118-64-C-20260804
2026-08-04,CL,2026-11-18,64,P,3.59,3.65,3.62,8291,39102,0.289,-0.199,CL,NYMEX,snap-20260804-cl,CL-20261118-64-P-20260804
2026-08-04,CL,11/18/2026,65.00,C,4.87,4.96,4.92,5088,20184,0.2782,0.86,CL,NYMEX,snap-20260804-cl,CL-20261118-65-C-20260804
2026-08-04,CL,2026-11-18,65,P,3.5,3.56,3.53,8001,37348,0.282,-0.14,CL,NYMEX,snap-20260804-cl,CL-20261118-65-P-20260804
2026-08-04,CL,2026-11-18,66,C,3.83,3.89,3.86,11767,33278,0.2739,0.948,CL,NYMEX,snap-20260804-cl,CL-20261118-66-C-20260804
2026-08-04,CL,2026-11-18,66,P,3.42,3.48,3.45,14716,73579,0.275,-0.052,CL,NYMEX,snap-20260804-cl,CL-20261118-66-P-20260804
2026-08-04,CL,2026-11-18,67,C,3.42,3.47,3.44,"11,731",40757,0.275,0.933,CL,NYMEX,snap-20260804-cl,CL-20261118-67-C-20260804
2026-08-04,cl,20261118,67,P ,3.97,4.04,4.00,8768,24664,0.2745,-0.067,CL,NYMEX,snap-20260804-cl,CL-20261118-67-P-20260804
2026-08-04,CL,11/18/26,68,Call,3.48,3.54,3.51,6802,27007,0.2802,0.851,CL,NYMEX,snap-20260804-cl,CL-20261118-68-C-20260804
08/04/2026,cl,2026-11-18,68,put,5.02,5.11,5.06,8092,33535,0.28,-0.149,CL,NYMEX,snap-20260804-cl,CL-20261118-68-P-20260804
20260804,CL,11/18/2026,69,C,3.54,3.61,3.58,6360,30429,0.2854,0.795,CL,NYMEX,snap-20260804-cl,CL-20261118-69-C-20260804
2026-08-04,CL,2026-11-18,69,P,6.06,6.17,6.12,7782,21441,0.28,-0.205,CL,NYMEX,snap-20260804-cl,CL-20261118-69-P-20260804
2026-08-04,CL,2026-11-18,70,C,3.61,3.68,3.64,3199,12923,0.2906,0.754,CL,NYMEX,snap-20260804-cl,CL-20261118-70-C-20260804
2026-08-04,cl,20261118,70,P,7.1,7.24,7.17,3317,17587,0.2875,-0.246,CL,NYMEX,snap-20260804-cl,CL-20261118-70-P-20260804
2026-08-04,CL,11/18/2026,71,C,3.67,3.74,3.7,1536,7156,0.2958,0.723,CL,NYMEX,snap-20260804-cl,CL-20261118-71-C-20260804
2026-08-04,CL,2026-11-18,71,P,8.15,8.31,8.23,1548,4731,0.2918,-0.277,CL,NYMEX,snap-20260804-cl,CL-20261118-71-P-20260804
2026-08-04,CL,20261118,72,C,3.73,3.81,3.77,286,763,0.301,0.699,CL,NYMEX,snap-20260804-cl,CL-20261118-72-C-20260804
2026-08-04,CL,2026-11-18,72,P,9.19,9.37,9.28,275,1070,0.2961,-0.301,CL,NYMEX,snap-20260804-cl,CL-20261118-72-P-20260804
08/04/26,CL,2026-11-18,73,C,3.8,3.88,3.84,441,1693,0.3062,0.68,CL,NYMEX,snap-20260804-cl,CL-20261118-73-C-20260804
2026-08-04,CL,2026-11-18,73,P,10.23,10.44,10.34,369,1426,0.3005,-0.32,CL,NYMEX,snap-20260804-cl,CL-20261118-73-P-20260804
08/04/2026,CL,2026-11-18,74,C,3.86,3.94,3.90,210,582,0.3114,0.664,CL,NYMEX,snap-20260804-cl,CL-20261118-74-C-20260804
2026-08-04,CL,2026-11-18,74,P,11.27,11.51,11.39,599,1727,0.30,-0.336,CL,NYMEX,snap-20260804-cl,CL-20261118-74-P-20260804
2026-08-04,CL,2026-11-18,75,C,3.92,4.01,3.96,364,1553,0.3166,0.65,CL,NYMEX,snap-20260804-cl,CL-20261118-75-C-20260804
2026-08-04,CL,2026-11-18,75,Put,12.31,12.58,12.44,366,1614,0.3092,-0.349,CL,NYMEX,snap-20260804-cl,CL-20261118-75-P-20260804
08/04/26,CL,2026-11-18,76,C,3.99,4.08,4.04,267,1083,0.3218,0.639,CL,NYMEX,snap-20260804-cl,CL-20261118-76-C-20260804
20260804,cl,11/18/2026,76,P,13.35,13.65,13.5,504,2267,0.3135,-0.361,CL,NYMEX,snap-20260804-cl,CL-20261118-76-P-20260804
20260805,CL,2026-08-19,56,C,11.47,11.65,11.56,969,"4,304",0.3161,0.63,CL,NYMEX,snap-20260805-cl,CL-20260819-56-C-20260805
2026-08-05,CL,08/19/2026,56,P,1.54,1.57,1.56,893,2531,0.34,-0.367,CL,NYMEX,snap-20260805-cl,CL-20260819-56-P-20260805
2026-08-05,CL,08/19/2026,57,C,10.47,10.62,10.54,914,4051,0.3118,0.643,CL,NYMEX,snap-20260805-cl,CL-20260819-57-C-20260805
08/05/26,CL,2026-08-19,57,P,1.51,1.53,1.52,1170,4183,0.3361,-0.357,CL,NYMEX,snap-20260805-cl,CL-20260819-57-P-20260805
08/05/2026,CL,08/19/2026,58,C,9.46,9.59,9.52,463,2148,0.31,0.656,CL,NYMEX,snap-20260805-cl,CL-20260819-58-C-20260805
2026-08-05,CL,2026-08-19,58,P,1.48,1.5,1.49,657,2954,0.329,-0.344,CL,NYMEX,snap-20260805-cl,CL-20260819-58-P-20260805
08/05/2026,cl,2026-08-19,59,C,8.45,8.56,8.5,701,1901,0.3031,0.67,CL,NYMEX,snap-20260805-cl,CL-20260819-59-C-20260805
08/05/26,CL,20260819,59,Put,1.45,1.47,1.46,712,3714,0.32,-0.33,CL,NYMEX,snap-20260805-cl,CL-20260819-59-P-20260805
2026-08-05,CL,2026-08-19,60,C,7.44,7.53,7.48,544,1408,0.2987,0.687,CL,NYMEX,snap-20260805-cl,CL-20260819-60-C-20260805
2026-08-05,CL,08/19/2026,60,P,1.42,1.44,1.43,642,1643,0.315,-0.313,CL,NYMEX,snap-20260805-cl,CL-20260819-60-P-20260805
